ticker,time,open,high,low,close,volume
VHC,2025-04-01 02:15:00,63.1,63.1,63.1,63.1,1300
VHC,2025-04-01 02:17:00,63.1,63.1,63.0,63.0,700
VHC,2025-04-01 02:18:00,63.0,63.1,63.0,63.0,1400
VHC,2025-04-01 02:19:00,63.0,63.0,63.0,63.0,600
VHC,2025-04-01 02:20:00,63.0,63.0,63.0,63.0,400
VHC,2025-04-01 02:21:00,63.0,63.1,63.0,63.1,500
VHC,2025-04-01 02:22:00,63.1,63.2,63.1,63.2,900
VHC,2025-04-01 02:23:00,63.2,63.2,63.2,63.2,2900
VHC,2025-04-01 02:24:00,63.2,63.2,63.2,63.2,400
VHC,2025-04-01 02:25:00,63.2,63.4,63.2,63.4,500
VHC,2025-04-01 02:26:00,63.4,63.5,63.4,63.4,8900
VHC,2025-04-01 02:27:00,63.4,63.5,63.4,63.4,2100
VHC,2025-04-01 02:28:00,63.4,63.5,63.4,63.4,2300
VHC,2025-04-01 02:29:00,63.4,63.4,63.4,63.4,2400
VHC,2025-04-01 02:30:00,63.4,63.4,63.3,63.3,200
VHC,2025-04-01 02:31:00,63.3,63.3,63.2,63.2,1600
VHC,2025-04-01 02:32:00,63.2,63.3,63.2,63.3,500
VHC,2025-04-01 02:34:00,63.3,63.3,63.3,63.3,100
VHC,2025-04-01 02:35:00,63.3,63.3,63.3,63.3,2300
VHC,2025-04-01 02:37:00,63.3,63.3,63.2,63.2,800
VHC,2025-04-01 02:38:00,63.2,63.2,63.2,63.2,800
VHC,2025-04-01 02:39:00,63.2,63.2,63.2,63.2,300
VHC,2025-04-01 02:41:00,63.2,63.2,63.2,63.2,400
VHC,2025-04-01 02:42:00,63.2,63.2,63.2,63.2,100
VHC,2025-04-01 02:43:00,63.2,63.2,63.1,63.1,1300
VHC,2025-04-01 02:47:00,63.1,63.2,63.1,63.1,900
VHC,2025-04-01 02:48:00,63.1,63.1,63.1,63.1,3100
VHC,2025-04-01 02:49:00,63.1,63.1,63.1,63.1,3500
VHC,2025-04-01 02:50:00,63.1,63.1,63.1,63.1,2000
VHC,2025-04-01 02:51:00,63.1,63.1,63.1,63.1,400
VHC,2025-04-01 02:52:00,63.1,63.1,63.1,63.1,200
VHC,2025-04-01 02:53:00,63.1,63.1,63.0,63.0,300
VHC,2025-04-01 02:54:00,63.0,63.0,63.0,63.0,1600
VHC,2025-04-01 02:55:00,63.0,63.0,63.0,63.0,700
VHC,2025-04-01 02:56:00,63.0,63.0,63.0,63.0,500
VHC,2025-04-01 02:57:00,63.0,63.0,63.0,63.0,7300
VHC,2025-04-01 02:58:00,63.0,63.0,62.9,62.9,300
VHC,2025-04-01 02:59:00,62.9,63.0,62.9,63.0,1100
VHC,2025-04-01 03:00:00,63.0,63.0,63.0,63.0,100
VHC,2025-04-01 03:01:00,63.0,63.0,63.0,63.0,100
VHC,2025-04-01 03:02:00,63.0,63.0,62.9,62.9,100
VHC,2025-04-01 03:03:00,62.9,62.9,62.9,62.9,1000
VHC,2025-04-01 03:04:00,62.9,62.9,62.9,62.9,10500
VHC,2025-04-01 03:05:00,62.9,62.9,62.9,62.9,600
VHC,2025-04-01 03:06:00,62.9,62.9,62.9,62.9,700
VHC,2025-04-01 03:07:00,62.9,63.0,62.9,63.0,600
VHC,2025-04-01 03:09:00,63.0,63.0,62.9,62.9,1400
VHC,2025-04-01 03:10:00,62.9,62.9,62.9,62.9,900
VHC,2025-04-01 03:11:00,62.9,62.9,62.9,62.9,400
VHC,2025-04-01 03:12:00,62.9,62.9,62.9,62.9,700
VHC,2025-04-01 03:13:00,62.9,62.9,62.9,62.9,400
VHC,2025-04-01 03:14:00,62.9,62.9,62.9,62.9,3500
VHC,2025-04-01 03:15:00,62.9,62.9,62.9,62.9,1500
VHC,2025-04-01 03:16:00,62.9,62.9,62.9,62.9,3200
VHC,2025-04-01 03:17:00,62.9,62.9,62.9,62.9,200
VHC,2025-04-01 03:18:00,62.9,62.9,62.9,62.9,100
VHC,2025-04-01 03:19:00,62.9,62.9,62.9,62.9,200
VHC,2025-04-01 03:20:00,62.9,62.9,62.8,62.8,1300
VHC,2025-04-01 03:21:00,62.8,62.8,62.8,62.8,400
VHC,2025-04-01 03:22:00,62.8,62.8,62.8,62.8,500
VHC,2025-04-01 03:23:00,62.8,62.8,62.8,62.8,500
VHC,2025-04-01 03:24:00,62.8,62.9,62.8,62.9,7400
VHC,2025-04-01 03:25:00,62.9,62.9,62.9,62.9,500
VHC,2025-04-01 03:26:00,62.9,62.9,62.9,62.9,1000
VHC,2025-04-01 03:27:00,62.9,62.9,62.9,62.9,500
VHC,2025-04-01 03:28:00,62.9,63.0,62.9,63.0,9400
VHC,2025-04-01 03:29:00,63.0,63.0,63.0,63.0,1500
VHC,2025-04-01 03:30:00,63.0,63.0,63.0,63.0,400
VHC,2025-04-01 03:31:00,63.0,63.1,63.0,63.1,400
VHC,2025-04-01 03:32:00,63.1,63.1,63.1,63.1,200
VHC,2025-04-01 03:33:00,63.1,63.1,63.1,63.1,100
VHC,2025-04-01 03:34:00,63.1,63.1,63.0,63.0,6800
VHC,2025-04-01 03:35:00,63.0,63.0,63.0,63.0,400
VHC,2025-04-01 03:36:00,63.0,63.0,63.0,63.0,500
VHC,2025-04-01 03:37:00,63.0,63.0,63.0,63.0,500
VHC,2025-04-01 03:38:00,63.0,63.0,63.0,63.0,400
VHC,2025-04-01 03:39:00,63.0,63.0,63.0,63.0,700
VHC,2025-04-01 03:40:00,63.0,63.0,63.0,63.0,1500
VHC,2025-04-01 03:42:00,63.0,63.0,63.0,63.0,200
VHC,2025-04-01 03:43:00,63.0,63.0,63.0,63.0,100
VHC,2025-04-01 03:44:00,63.0,63.0,62.9,62.9,10200
VHC,2025-04-01 03:45:00,62.9,63.0,62.8,62.8,5800
VHC,2025-04-01 03:46:00,62.8,62.9,62.8,62.9,500
VHC,2025-04-01 03:47:00,62.9,62.9,62.9,62.9,600
VHC,2025-04-01 03:48:00,62.9,62.9,62.9,62.9,300
VHC,2025-04-01 03:49:00,62.9,62.9,62.9,62.9,100
VHC,2025-04-01 03:50:00,62.9,62.9,62.9,62.9,1100
VHC,2025-04-01 03:51:00,62.9,62.9,62.9,62.9,700
VHC,2025-04-01 03:52:00,62.9,62.9,62.9,62.9,400
VHC,2025-04-01 03:53:00,62.9,62.9,62.9,62.9,2600
VHC,2025-04-01 03:54:00,62.9,62.9,62.9,62.9,100
VHC,2025-04-01 03:55:00,62.9,62.9,62.9,62.9,1300
VHC,2025-04-01 03:56:00,62.9,62.9,62.9,62.9,100
VHC,2025-04-01 03:57:00,62.9,62.9,62.9,62.9,1400
VHC,2025-04-01 03:58:00,62.9,62.9,62.9,62.9,500
VHC,2025-04-01 03:59:00,62.9,62.9,62.9,62.9,500
VHC,2025-04-01 04:00:00,62.9,63.0,62.9,63.0,600
VHC,2025-04-01 04:01:00,63.0,63.0,63.0,63.0,200
VHC,2025-04-01 04:03:00,63.0,63.0,62.9,62.9,2500
